ลำดับ,วันที่,เวลาเริ่ม,เวลาสิ้นสุด,ระยะเวลาดับ_นาที,สถานที่,รหัสอุปกรณ์,จำนวนผชฟ_กระทบ,สภาพอากาศ,สาเหตุ,ช่องทางการแจ้ง,เวลารับแจ้ง,เวลาออกปฏิบัติงาน,เวลาเสร็จงาน,เวลาแก้ไข_นาที,ผู้ปฏิบัติงาน,ยานพาหนะ,อุปกรณ์_รายการ,อุปกรณ์_จำนวน,หมายเหตุ,date_iso
1,1 ม.ค. 2569,14:40,15:41,61,กฟจ.นครพนม (L),NNA01VF-017,209,อากาศปกติ,สัตว์-กระรอก/กระแต/หนู,ศจฟ,14:40,14:41,15:59,78,1. กิติศักดิ์ หาราช  | 2. ประจล ศรีสุราช  | 3. พงษ์สนิจ ศรีวิชัย,รถ : 3ฒภ 2576 กทม (นพ 01),FUSE LINK 22 KV. 10 A.EEI-NEMA TYPE K,2,,2026-01-01
2,1 ม.ค. 2569,18:49,19:17,27,กฟส.นาหว้า (XS),6500221498,1,อากาศปกติ,สัตว์-กระรอก/กระแต/หนู,ศจฟ,18:49,18:50,19:19,29,1. อัมรินทร์ วะราวัง,รถ : นาหว้า 02,"CONN.,PG,DOUBLE BOLT,AL 16-70 SQ.MM.",2,,2026-01-01
3,2 ม.ค. 2569,07:21,07:49,27,กฟส.ท่าอุเทน (XS),NNA01VF-231,1,อากาศชื้น / หมอก,สัตว์-กระรอก/กระแต/หนู,ศจฟ,07:21,07:22,07:57,35,1. อนุสรณ์ ทองประสม,รถ : รถแก้ไฟท่าอุเทน,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,1,,2026-01-02
4,2 ม.ค. 2569,07:41,12:03,262,กฟส.ศรีสงคราม (XS),52-007090,45,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,07:41,07:00,08:30,90,1. วุฒิชัย เหมเมือง,รถ : ศรีสงคราม 01,"CABLE,AL,750 V,50 SQ.MM. TIS.293",3,,2026-01-02
5,2 ม.ค. 2569,08:05,11:37,212,กฟส.นาแก (S),SOA08VF-506,211,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,08:05,11:33,11:39,6,1. พิษณุ คำคนซื่อ  | 2. วรพันธุ์ ตันสมรส,รถ : นก-03,FUSE HOLDER 22 KV. 100 A. 12 KA.,1,,2026-01-02
6,2 ม.ค. 2569,09:27,09:30,3,กฟส.บ้านแพง (S),SEK04F-55-1,100,อากาศปกติ,สัตว์-นก/ค้างคาว,ศจฟ,09:27,08:30,09:10,40,1. รชานนท์ โมธรรม,รถ : กระเช้าบ้านแพง,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,2,,2026-01-02
7,2 ม.ค. 2569,12:11,12:32,20,กฟส.นาหว้า (XS),SSK04VF-102,11,อากาศปกติ,สัตว์-นก/ค้างคาว,ศจฟ,12:11,12:12,12:35,23,1. อัมรินทร์ วะราวัง,รถ : นาหว้า 02,FUSE HOLDER 22 KV. 100 A. 12 KA.,1,,2026-01-02
8,2 ม.ค. 2569,14:14,15:27,73,กฟส.นาหว้า (XS),36-008184,264,อากาศปกติ,สัตว์-นก/ค้างคาว,ศจฟ,14:14,14:15,15:28,73,1. อัมรินทร์ วะราวัง,รถ : นาหว้า 02,FUSE HOLDER 22 KV. 100 A. 12 KA.,1,,2026-01-02
9,2 ม.ค. 2569,17:55,18:30,35,กฟจ.นครพนม (L),NNA07F-30,9,อากาศปกติ,สัตว์-นก/ค้างคาว,ศจฟ,17:55,18:09,18:58,49,1. กิติศักดิ์ หาราช  | 2. ชัยยา มาตขาว,รถ : 3ฒภ 2576 กทม (นพ 01),FUSE LINK 22 KV. 10 A.EEI-NEMA TYPE K,2,,2026-01-02
10,2 ม.ค. 2569,18:30,19:10,40,กฟจ.นครพนม (L),NNB02VF-002,82,อากาศปกติ,สัตว์-นก/ค้างคาว,ศจฟ,18:30,18:43,19:22,40,1. กิติศักดิ์ หาราช  | 2. ชัยยา มาตขาว,รถ : 3ฒภ 2576 กทม (นพ 01),FUSE LINK 22 KV. 40 A.EEI-NEMA TYPE K,1,,2026-01-02
